feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,lipid(%),sample_group
12.57,47.0,8.2,8.42,481.0,0.081,21.9,3.82,5.0,3.93,1.13,5.27,0.011,0.026,7.84667,0.102111845,0.23913,49.91,4.08008658,6.304511278,3.875,47.775,0.4485,7.6125,32.555,0.112100083,0.563068342,0.878200381,0.22163165,0.0
3.88,32.0,8.5,9.09,541.0,0.119,28.0,3.64,1.5,1.96,0.07,2.14,0.025,0.029,7.14889,0.120179557,0.20717,43.68,5.155116337,4.579776938,4.455,49.55,0.4775,8.1735,32.0205,0.164825898,0.602928473,0.857684036,1.822245062,0.0
15.23,48.0,9.17,10.17,185.1,0.098,40.6,6.12,2.5,0.11,0.04,0.17,0.012,0.028,5.54333,0.071312383,0.08472,6.54,2.495107632,17.71449171,2.365,45.855,0.44,7.807,35.948,0.219909388,0.36237378,0.221249912,0.766911726,0.0
6.52,37.0,8.57,9.93,737.0,0.136,45.6,7.38,1.0,4.6,0.78,6.6,0.573,0.683,2.06667,0.025566674,0.12621,8.78,4.527,10.751,6.07,42.51,0.737,4.762,32.582,0.449810522,0.07345,0.14341,1.898,0.0
12.12,28.0,8.18,10.37,493.5,0.049,17.5,2.26,1.5,4.93,0.41,6.16,0.034,0.068,11.145,0.227525596,0.60823,59.3,3.493113692,5.273206646,2.945,37.66,0.379,6.552,33.7975,0.183017323,0.454545493,0.741368275,0.165096233,0.0
46.65,75.0,8.09,10.48,522.0,0.069,24.7,4.01,5.5,3.5,1.48,5.66,0.022,0.258,7.46,0.17017766,0.47093,58.78,2.908316365,4.038279307,3.065,36.975,0.3875,3.3025,32.3025,0.1268314,0.474064194,0.905496299,0.816154811,0.0
4.62,22.0,8.51,11.2,798.0,0.062,14.8,2.91,1.0,3.61,0.09,4.3,0.019,0.054,6.31667,0.138246205,0.45811,57.05,2.475298477,5.17224708,2.795,35.445,0.4515,3.2135,32.244,0.087195914,0.46041755,0.86871756,0.88145216,0.0
14.75,41.0,9.24,12.16,182.5,0.058,52.6,8.79,1.5,0.07,0.0,1.21,0.013,0.073,6.12167,0.115187756,0.09778,13.3,2.429836669,14.6840834,2.435,46.82,0.409,7.8855,38.3105,0.144542091,0.194736895,0.259841565,1.533676534,0.0
3.34,39.5,9.03,16.05,753.0,0.122,32.1,4.1,0.5,7.08,0.1,8.89,0.637,0.837,78.21111,0.458283066,2.481,65.62,5.349,12.321,6.43,45.35666667,0.411333333,12.844,34.27866667,0.4333561,0.557928155,0.249728821,13.674,0.0
2.76,31.0,8.52,14.93,735.5,0.111,33.1,5.52,1.5,12.42,0.17,14.15,1.315,1.711,84.18889,0.451843896,2.514,103.41,4.685,8.779,4.523333333,38.94,0.184333333,11.23633333,34.542,0.456035898,0.952207045,0.249716319,9.347,0.0
7.68,24.5,8.42,12.64,568.5,0.031,19.2,1.69,0.5,6.11,0.48,7.34,0.022,0.081,9.85556,0.133646916,0.601,47.85,3.719,18.571,4.003333333,47.61333333,0.017,10.46066667,33.55533333,0.113169498,0.714729327,0.550322663,5.321,0.0
6.26,25.5,8.15,12.39,550.5,0.033,12.7,2.56,0.5,4.72,1.96,7.43,0.022,0.068,9.37444,0.161922187,0.862,51.49,4.923,16.976,4.25,49.02666667,0.0,10.77433333,33.57533333,0.074192091,0.61504735,0.444006108,10.111,0.0
2.6,17.5,8.7,13.91,897.0,0.031,27.9,1.83,0.5,4.89,0.09,5.83,0.03,0.069,9.48,0.138385997,0.681,48.19,3.583,16.024,4.16,49.09,0.0,10.99866667,33.06333333,0.089034589,0.729421541,0.565546731,8.725,0.0
9.56,39.0,9.17,12.92,194.2,0.054,70.4,11.31,6.5,0.28,0.12,1.29,0.012,0.045,9.57556,0.131905277,0.18,17.84,0.237,27.099,3.6192156862352944,43.8329411767647,0.3078823529117647,8.316666667,40.92366667,0.131931036,0.6,0.198085322,12.859,0.0
8.33,51.0,9.45,7.78,540.5,0.099,39.7,8.27,7.5,1.54,1.56,4.38,0.12344285714285715,1.132,49.76667,0.459171186,0.81181,40.85,1.667,16.258,3.23,45.95666667,0.017,9.534333333,35.17566667,0.437584686,0.256134856,0.125085818,1.215,0.0
2.76,20.5,7.67,7.21,754.0,0.111,19.7,6.74,2.5,8.21,0.44,9.39,0.12344285714285715,2.393,76.0,0.501774507,2.27453,111.7,2.804,6.162,3.98,38.62666667,0.004333333,10.16733333,33.165,0.743359323,0.652891174,0.314467267,6.69,0.0
7.13,33.5,8.04,7.27,367.0,0.04,14.0,4.22,1.0,2.97,0.73,3.91,0.102,0.142,25.38333,0.287890318,1.03397,60.79,3.334,12.403,4.48,49.02333333,0.0,10.65533333,31.55033333,0.17144143,0.530224067,0.822113927,3.988,0.0
5.36,28.5,8.27,7.82,396.0,0.032,13.1,3.79,3.5,2.48,0.27,3.08,0.102,0.137,16.3,0.264079396,0.99305,68.63,2.59,11.487,3.633333333,43.73333333,0.0,9.351333333,31.769,0.167954612,0.567832687,0.890727897,0.82,0.0
4.18,17.5,8.29,7.76,834.0,0.017,20.4,3.58,2.5,0.81,0.07,1.37,0.12344285714285715,0.039,14.61667,0.220009474,0.45736,37.14,1.889,20.556,2.27,44.76666667,0.0,8.682333333,35.51266667,0.084199276,0.305164194,0.622195773,1.184,0.0
3.02,11.5,7.53,7.24,642.0,0.071,14.3,5.57,3.0,6.9,0.12,7.02,0.12344285714285715,0.24,49.88333,0.386530725,1.46706,81.41,2.581,6.001,3.933333333,40.86666667,0.0,10.07766667,33.45633333,0.156922225,0.579861774,0.281381529,6.173,0.0
4.5,21.0,7.8,8.0,666.0,0.1105,61.29787234,5.921,7.5,0.084759576,0.0102183,2.729551451,0.12344285714285715,0.466137319,4.53,0.116796394,0.063065,4.81,0.399,16.792,3.6192156862352944,43.8329411767647,0.3078823529117647,10.37833333,29.84933333,0.206923414,0.0,0.331629873,13.573,0.0
2.9,22.0,7.44,7.64,699.0,0.1415,35.44680851,6.989666667,2.5,2.162999185,0.23780771,3.666226913,0.12344285714285715,6.503035965,12.68333333,0.245996925,0.424892222,61.67,0.702,4.055,2.73,21.66333333,0.0,9.068,24.83533333,1.098674342,0.312799227,0.173899457,1.587,0.0
7.7,39.0,8.09,8.53,376.0,0.073,21.72340426,3.183333333,1.0,2.162999185,1.166744078,3.389182058,0.138,0.195235871,6.12,0.095637814,0.19,27.74,2.123,7.364,3.76,40.93,0.0,8.918,33.04033333,0.186578003,0.318592904,0.477518951,4.241,0.0
8.9,71.0,9.42,9.92,465.0,0.064,29.06382979,2.259,3.5,0.960880196,0.655829076,1.85883905,0.12344285714285715,1.101821579,26.2,0.331878767,0.459200124,34.0,1.18,16.67,3.39,53.6,0.0,9.154,37.587,0.249173306,0.469424292,0.061939459,1.467,0.0
4.3,16.0,8.7,10.69,591.0,0.053,19.38297872,4.024,2.5,5.58190709,0.0,6.5323219,0.012,0.162540869,6.74,0.09845693,0.206,19.07,2.569,9.341,4.325,47.845,0.0,10.61766667,33.95033333,0.11891406,0.202065388,0.168323065,1.424,0.0
2.8,9.0,7.94,8.71,639.0,0.117,19.4893617,5.612333333,3.0,9.212713936,0.024152346,9.978891821,0.12344285714285715,0.258290518,31.1,0.319033574,0.97,44.63,3.474,7.315,5.67,47.28666667,0.0,11.09033333,34.62233333,0.237652026,0.590825079,0.205021726,6.97,0.0
11.333464893769802,57.86463799792123,9.949319296683028,21.049318708593557,485.66501057835933,0.10361254175732043,30.076144686224854,6.6374811206201105,8.895688661148808,0.8988825238540954,0.076604694332227,1.5279559321845957,0.19794069798788486,0.10676630256664228,25.48547174769192,0.3019977507012556,0.346061591226993,22.54307947782389,16.353761319515606,24.813003724611768,2.688947246288864,44.5680469946522,0.6369165478943184,7.64627912552042,37.43712529073653,0.7171239178813217,0.2174384211207799,0.3246522683944849,0.5948377397492166,2.0
24.01768864026559,61.71442917924999,8.202052255252367,7.681054585179413,395.86540498499403,0.07224966197931253,8.172603835310586,4.100834066345555,2.046406879448452,-0.08491542479134256,0.2573402931186871,0.7504526050106437,0.026974982636167082,0.034783820759894925,8.978343726426296,0.09003595842915417,0.11924671362113404,25.466668606100825,12.797740650792914,7.2049628978208204,1.3435090168334671,31.892177911516807,0.41089873207208577,9.613452177398793,40.05389162233658,0.42665100754537005,0.2770216828344634,0.8245560104470194,13.415499875513628,2.0
17.405552149619343,44.69727828580328,8.859880947608383,12.24329062592921,165.22165000690904,0.08269276485962249,9.066038854241548,4.023642480601206,1.6805330789587491,1.3171830356296155,0.0542292921498069,1.795237219860843,0.010395157659585859,-0.026831413630898547,16.730170303822312,0.24279744177487406,1.0304933567367407,34.146940655812145,17.932439954724572,13.286076055982573,3.2346887948058516,45.9263306370437,0.6372454521322358,7.616054503878411,38.91932099635771,0.2680484856803224,0.9325720606660259,0.3877305610062346,2.7451705979229186,2.0
29.41999296382289,90.50877531364631,8.937304675095872,12.761657747010954,427.71720416900337,0.0788493733763778,23.172300099578884,5.380417402335189,9.344012580108865,0.29236137013656205,0.05735817507819003,0.6036078286521095,0.006998909438647952,0.025904263342655873,7.130379103496878,0.15044001843690286,0.23763504218191017,8.05044570800639,14.5034108102107,10.612480372098307,2.1313123368492026,41.759819569719184,0.5626008541029183,6.782335787483657,36.05067607644586,0.23707085297790406,0.9657407683276235,0.2132794473891599,3.6167435883919463,2.0
8.378309319314475,56.911536319399794,9.594262244381014,11.387383129256111,150.65385245818499,0.11406602962379604,28.751136064366673,7.235714057276669,17.17575740858748,3.197784628736496,0.14449430224624338,3.5031466590642286,0.02013239078036766,0.14505829594959238,11.458004773903642,0.1752435574997004,0.5180659818016217,23.454200711642727,18.664112450707375,9.31955885516255,4.187778955845731,47.870441828804275,0.8320208240798531,7.730227636736635,41.65915325246987,0.4385229398418585,0.703976463491502,0.44100045471357213,4.709359600204441,2.0
20.006910401379358,53.77970458551958,9.022051883436827,8.049012127635375,209.59156450832057,0.06029378855834054,38.478760638569234,10.45947902426783,9.615968890194425,0.263178447892663,0.24615954600256948,1.023592320671349,-0.002264707210405165,0.023259913258552107,6.773297747724887,0.1370008883012127,0.1974133596900411,6.847777080427525,16.800651348663788,13.518429552420061,2.427498721723556,46.25340660454607,0.6337254045655938,4.8874538240036385,38.02824213926519,0.48624871057561264,0.27886283093056974,0.37757540577393106,11.341643952920768,2.0
4.984663019791814,40.76208547410744,8.283467504581502,7.351809037075787,507.23113781261935,0.07456455053645293,19.806070018026514,4.81429195061804,12.002888857816346,0.8913285669845605,0.04949216579645828,1.8507849088550696,0.010604072728981916,-0.035937153577853855,10.51847405407383,0.20674333750500815,0.571045004147195,25.465835765248336,17.1165402154823,10.99196340036395,2.7643874128414816,47.55577847357352,0.6059395347323384,7.35239974673457,39.759222218051136,0.30872418654993183,0.6571642843483341,0.571181060394908,13.541466300021533,2.0
26.984570559950036,77.65049826986645,8.171736253515455,7.380401304356085,430.5678738459229,0.08092800636832265,28.606620204738242,5.430124592909082,15.193899091044786,0.763650102957957,0.7726645667408751,2.459477915263873,0.014259652320926344,0.24396155927351787,14.350548583301583,0.24498546950393077,0.7677147870098807,37.51552800040328,17.14356990130633,5.873817197177778,2.7883717300869866,38.599772445516415,0.5764122498917668,9.511833676312428,40.819019524996584,0.12371283054890166,0.46188451859973756,0.7711867158207738,14.936250551211419,2.0
12.84818324232323,63.0660924889634,9.251917348674006,16.950650405596257,559.8669548480528,0.13912462275482793,61.15604745322811,7.1146744632020775,13.510125493054987,2.68526416279453,0.5927189587523239,3.968061385778446,0.05238734989046155,0.10164511812189357,20.581613368359445,0.26785701509411497,0.706028331449701,67.22282960230116,4.067869893422364,7.1764909967318395,4.230345972325145,48.71080507571503,0.6840536547006881,7.929510111382407,33.68681779523402,0.17130873949664535,0.5877132274749921,0.40079976581780286,0.07516059045343726,2.0
21.697452897395653,44.51079283344403,8.084680131858402,9.07391070175823,341.6337027386629,0.07882892316053229,18.230541809774905,3.3683017831878637,0.7940476383610975,4.2613456392984,0.0002981831209372815,4.401536744999014,0.022930403034330245,-0.03323889505562674,17.006105959241147,0.2036521051912872,0.32368448123733434,50.32769861875246,5.302383424210624,5.652079286430898,4.377653875309585,49.46803457089027,0.5271781637164692,6.870357898294709,33.04714351771809,0.14971076434500422,0.5755677425301605,0.8000507887742734,1.2149471487063355,2.0
12.623355264369755,47.648231922352586,8.24730781481055,8.225497964856068,502.27071784343786,0.07776961502270076,21.786955557084383,3.8870632257679714,5.062432879850019,3.83946603918429,1.124882334671573,5.193737333727679,0.0038371322369442785,0.07450579451905627,8.222232634685778,0.09797598588191374,0.26716916272877367,50.3041676430075,4.319062449987859,6.488480624299318,3.8303461411169732,47.6088806858859,0.4586428785702015,7.67835490114441,32.55141487473496,0.11337583183300445,0.577595718114313,0.8703548364151256,0.1443098323167683,2.0
4.13714594843387,31.802051563511085,8.493506990628864,9.262654433623672,549.2310940237934,0.12034622495344086,28.97227678684991,3.642394261731404,1.651521423959395,1.9148904768837105,0.07797115589479174,2.119868078080275,0.02617884427700618,0.06297892317313958,6.288162307141193,0.13266865954945462,0.17581396512476183,42.12258180974754,5.495592965351664,4.811090465272609,4.488618246032324,49.73633319861906,0.4773337768060485,8.076692207612496,32.03350230198957,0.15746284055463539,0.6140158333638508,0.855733729976275,1.9246254508348262,2.0
14.842000958321647,47.68536035261873,9.182316946812582,10.081420100261393,176.90077618709,0.09840326234678377,40.78244287792186,6.062212731079899,2.395341177748402,0.1437376202603737,0.004392029134814186,-0.04772157529465881,0.0032683598886285824,0.015813796931628245,5.870389382771871,0.08011853246600746,0.11145194872251232,6.3348496854081215,2.4895169977188676,17.4215656882269,2.3640027889779858,45.76939950360751,0.4443801996262494,7.717747270802015,36.03708039801697,0.23657548780056714,0.3611371493403572,0.22657749762275323,0.8931078551701628,2.0
6.8443805169108165,36.60720152715187,8.576684245414048,9.931978685500164,737.9740310475053,0.1347207956559726,45.61825435491026,7.436767627174157,1.3224259664198668,4.739467888790846,0.8329461275268146,6.481298458097433,0.5836017831812875,0.6934674290332361,4.370234386902787,0.02074207948365181,0.10003714468643853,8.011169688723424,3.902589270655894,10.597381230953953,6.0291092801574155,42.55459864019615,0.7416385909623523,4.9644263830395525,32.7450205103314,0.44353761157865057,0.06323479577836369,0.14993393585126516,1.7595267680585598,2.0
11.49946582846519,29.79301470568183,8.215180418166577,10.296276881117715,476.41653490793834,0.05124043661343215,17.414694568691427,2.4011006747281503,1.1457381088874643,4.8428571757086845,0.41012894104399866,6.167267461563811,0.028530111583804287,0.10355997677099452,10.021916108500278,0.22667575715322774,0.6119794322589875,59.95986156474968,3.7023235698455785,4.94460087593394,2.8623648613225257,38.038889648315525,0.38351043692542974,6.471243269758809,34.06355981088801,0.18427510081405857,0.46795440311400405,0.7422637193473821,0.159217796395779,2.0
47.61858986693305,76.718494569828,8.082573880862537,10.63266615050987,528.4357219580677,0.07126486063997309,23.981357401845578,4.088204110713066,5.735168687800284,3.2442977765668632,1.4509040188906264,5.3445497197040455,0.01872575343731916,0.2989661856302101,9.040405318270096,0.1706199190988749,0.5216914746866117,57.00976834671272,2.4075336480634935,4.022048992926043,3.0856877051524187,36.965304510972715,0.3594389888688156,3.292884539148655,32.07875215704826,0.13411302470321704,0.47823250966825664,0.8930314149518299,1.3332318516358446,2.0
4.378472987853209,20.96302037664605,8.508130403728316,11.350084665578724,788.1702894799245,0.06283411427087816,14.405081928125936,2.819619149042015,0.9762191921879805,3.4594866546875074,0.0763859253433069,4.114699414270456,0.042878364208269584,0.0560132796422587,5.580593371200016,0.1395234145681032,0.4546089051796277,56.76656621534631,2.655859260998753,5.393580965862559,2.7664245284102065,35.2742435403443,0.4477667739351566,2.965137982170982,31.984108349259618,0.10205849937759144,0.47912125294175456,0.8654147914948749,1.2984270326510687,2.0
15.02099250004461,41.30471671797752,9.331837061011852,12.33592250135541,181.22439923916428,0.05641873737171424,51.403572713745135,8.813193147501616,1.3319483208341971,-0.1367807305388834,-0.015899038311899042,1.0426945677816644,0.03350474224524137,0.12333490034966624,6.11328317562968,0.12402128998906843,0.10019145272184107,12.195246036737288,2.877624667762781,14.84154589512317,2.379128682571035,46.76355587143486,0.3971153945958515,7.736305085466437,38.46936168926934,0.16530396245832923,0.17883482456421862,0.2673077818078489,1.6389914168612891,2.0
3.034185886668899,39.023099841020134,9.012330034727563,15.914238278477232,753.4838601540798,0.12062491391340292,32.30142716381896,4.094273277002596,0.44690873148515897,6.9480497890207,0.08581736149876765,9.00685200759316,0.6430879167492108,0.7811890574405551,78.3156026727354,0.46276796750326293,2.428967171165855,66.3169584779161,5.154193174095887,12.487721498557208,6.388887006292694,44.82143652991212,0.38924299902400444,12.84918804664685,34.32321531564003,0.4235230938712669,0.5651891143196173,0.2276933913406186,13.683172850637682,2.0
2.7289412651562257,29.814404181259253,8.50055698933276,14.937447909678703,726.9199139408088,0.11036362367854508,33.84945310012798,5.454239166791133,1.6856803388821595,12.255752505249596,0.18302772994006303,14.372997278295147,1.284960771316749,1.6655033638092525,84.79594133812842,0.4506319527436285,2.525568053557765,102.63527891751963,4.710456801730355,8.733513139612114,4.586235973788496,39.015447423159245,0.18891555179985273,11.191894538624094,34.45836382391168,0.4513325151429471,0.9566920665814139,0.24413313398438358,9.375971806921367,2.0
7.8161995742870465,26.53183616335429,8.445983965445588,12.588770846243598,580.478566632637,0.03032470222141798,17.682073271965088,1.5750866180395695,0.08433342512270864,6.058893636533463,0.4804529025629041,7.599329283748703,0.025973324700542713,0.06849103225300027,10.728053652342176,0.12044902670588124,0.6083437481668086,48.83877510672384,3.284305817249772,18.90519003331094,4.021566459392226,47.49018145861068,0.025588631811298435,10.705659360746218,33.58652775981174,0.11586850239581892,0.7095062762753322,0.5390518476484298,5.4690840438467845,2.0
6.65027328298894,24.661886187246527,8.152134682471585,12.314944108725799,555.2764113057033,0.03355215603144318,13.472724917251185,2.5018624093860145,0.4400371635467011,4.577698050067544,1.9490749585455567,7.48836488242233,0.03120009093737241,0.015351399103182908,10.289222420741286,0.17001375801808108,0.874886138433113,53.897332688746424,4.6955112995705734,16.61232810810094,4.154189142346455,49.47031227218156,0.008881584624044302,10.768336112875811,33.62335467216935,0.061954186274286026,0.6428561745261633,0.4457198665820233,9.864129874261144,2.0
2.6514175888618645,18.210532092671148,8.714347575275065,13.945179635737132,889.1173483246919,0.031780202764720225,29.301668659941136,1.9833665976679398,0.8539861492839704,4.815674617459586,0.06566590660639354,5.810541931597714,0.030677254914089784,0.13146998347290165,7.699610912030809,0.1475156218148119,0.6760751336214291,47.64244722573693,3.285448277523639,15.540472436027406,4.204340125825376,49.11174213253861,-0.01750840188739904,10.85893626480422,33.00573819103102,0.10718254562444371,0.7264699210488588,0.5456117319809709,8.662877356251991,2.0
9.444496187588612,38.73300115718657,9.089557086299116,12.911468468406163,191.8971090603928,0.055152107288690355,71.7770404246842,11.438418961890152,6.44025629479687,0.11912277097556007,0.18327816569372846,1.2991605418020995,0.012169290197335094,0.04362264167871611,9.783935371852527,0.13104361433862244,0.16211982593429858,17.138553738998965,0.2273707639175072,26.94021836032336,3.5808182115030625,43.8645026098667,0.30442159406579405,8.478937529776484,40.468961691364186,0.1437994383566067,0.614168306824082,0.17058758323644457,12.456256008559167,2.0
8.168930454743075,50.63635603081079,9.408016647793668,7.657779096441496,529.4252809012199,0.10189972004229819,40.39686185377252,8.414946612936168,7.66034650977164,1.3758477474918582,1.547102199903234,4.455701699979362,0.10858967873084248,1.1727067678712375,49.51385956666486,0.4569339445688587,0.8339695431329966,41.41984866707123,1.560878430900424,16.59674106754486,3.1717684682799634,46.13931976466392,0.025050054219873587,9.500935326388143,35.23160631459404,0.4239808141670371,0.2666412791568502,0.12263360685071367,1.311359971541547,2.0
2.514310454581011,21.52698952517451,7.648990789671347,6.9886838274170815,738.4772143135235,0.11200284702532318,18.74637920599639,6.94003181464968,2.037421315334313,8.456646913131687,0.44518885786474754,9.375039379732955,0.11682016158057897,2.415787625425808,75.96041015431001,0.508359927637772,2.278090302437145,111.8927894026203,2.697100511466654,6.145361230501186,3.996579758105859,38.11952347874199,-0.013965339613796207,10.247526593348592,33.194307525550684,0.7413587966094431,0.6531007725260217,0.3190769689189318,6.846212851411469,2.0
6.876302907495776,32.73803263050969,8.045841685261701,7.116265056015294,371.0711173480855,0.037182503523114446,14.766480566933598,4.273872148070978,1.0568866058982307,3.1128729334175613,0.7709535299814196,4.066913628974444,0.0796268625972598,0.06894592252370194,24.726051757276984,0.28804605102585645,1.0501046459790926,59.85910128775356,3.388908143695364,12.18228694650306,4.447060562102916,48.6061939414244,-0.012530874937343079,10.509495531007499,31.38294763392702,0.18289811005643278,0.5194291592068565,0.8570251333968275,3.8713739051671534,2.0
5.591868592077936,28.68095623778433,8.244396847188101,7.930042002952416,390.2597101726612,0.03220190622184609,15.006665014622381,3.779049977339645,3.755354164066008,2.3777655435847778,0.2691396432413982,3.353926413554853,0.0943801311941172,0.2404769777979765,17.044520033536138,0.2607221278085734,1.0127611893749138,69.87747833648514,2.772807850487878,11.02820079001031,3.594166051641128,43.659932727305886,-0.0010102712344245775,9.41829973346557,31.79947998871096,0.153434864271543,0.5721556336487055,0.8988256139922638,1.1999111602745463,2.0
4.443111925978511,18.558094110916514,8.314874285349443,7.832152481522592,833.3003039387692,0.014251382213021642,20.719965226077417,3.6036746539110665,2.5603414221525274,0.6243741855331251,0.043417135527704966,1.5329129661651661,0.12296212202409713,0.07790848775827824,14.646459531176301,0.22018708331829243,0.48660488213036235,36.478078583306456,1.9172588470553777,20.420929182066104,2.2465958383713436,44.674982986675495,0.00301498080081922,8.630679533760155,35.72805899941957,0.07447184332726972,0.30303941568858145,0.616363966918517,0.8881385187493419,2.0
3.7001065280905303,11.692428904940623,7.560777927377277,7.006568995008771,644.6630389016934,0.07247219298139546,14.361282352699615,5.691455823757594,2.8850649738967777,7.104904294710624,0.1765292331821101,6.963872244249013,0.11802842471997697,0.3229771596038241,51.544961778025936,0.3834098627322879,1.453963414659365,81.04855988192399,2.1857408003353016,5.732581867255379,3.8792452389747205,40.63897955504744,-0.000470771593083826,10.102936885361496,33.72228139595976,0.14606671142355035,0.5910537710154521,0.27854356379458184,5.819545718939506,2.0
4.476751136142472,21.660654389655907,7.766511373057894,8.060089305685837,667.6598699286117,0.11131492603237061,61.51323543775054,6.200883616858474,7.358302148979411,0.007558203608952735,-0.0051045434794801375,2.6436242991787884,0.11569634761208329,0.5340210868719109,6.024300216460752,0.11338970677952682,0.03712174011322955,5.414676369842157,0.23665022458804713,16.97693443281407,3.6301461451859853,43.3834536813163,0.32888635620610174,10.572096613250979,29.744225354974105,0.2027077756835754,0.00325036248770305,0.3360655095217747,13.627175646710404,2.0
3.209528061019025,23.96800843493468,7.434722006359382,7.514560918925573,685.2453581534544,0.14029043072700792,35.42213665277237,7.194231207741402,2.3849932408997305,2.195535599433949,0.23740387578391017,3.850060316228657,0.15415402980706122,6.472727410317584,12.168467242176353,0.25222934307259226,0.44614574477510033,64.03873872056036,0.873670868729891,3.9500195310769612,2.7618156528215723,21.992114679503572,0.011136253643608037,9.122731501620533,25.01829365282428,1.1113885732636632,0.32851472765965534,0.18250278441201223,1.8397367703114473,2.0
7.621451392855107,39.143634026713684,8.125987829494498,8.401632201455477,379.6764290810526,0.07234908881114781,21.744812439074582,3.3290661195826496,1.0424598236572018,2.1697505706962614,1.133305612807573,3.5046205544804314,0.14584491739314417,0.3187412030477338,5.7962325183025705,0.09694588490434293,0.19777291091342056,29.763371333170735,2.0949837691653586,7.445526455399633,3.7927443767486295,40.98533814485272,-0.006059361288519592,8.938941022227484,33.224486955717325,0.17541628049027402,0.3201048031485927,0.46823380102137546,4.647447460678113,2.0
9.461694150610581,69.5087862360334,9.403328442059928,9.979272547039558,480.61148564228716,0.06389119410731646,28.650335822181002,2.4734361236801896,3.1782694154298685,0.6411969362869592,0.6666489027661392,1.7811759238866425,0.11103126391775939,1.1422633250825793,26.45646629348495,0.32851187792210734,0.41929497910498875,35.1190855349589,1.371154672568258,16.641022104431524,3.4894691967301115,53.28267089624537,-0.020705672386856916,9.079347710851067,37.579180903559376,0.25181923578844806,0.4666813764230244,0.06660849195498134,1.3562396957812632,2.0
